productName,description,category,brand,priceLKR,discountPercentage,weightValue,weightUnit,labels
Kotmale Dish Wash Liquid 0.5L,Quality item,Household,Kotmale,620,,0.5,L,"brand_kotmale,cheapest,cleaning,compare,household"
Anchor Curry Powder 1000g,Quality item,Spices,Anchor,720,,1000,g,"brand_anchor,cheapest,compare,curry,spices"
MALIBAN Orange,fresh,Fruits,MALIBAN,790,30,5,kg,"brand_maliban,cheapest,compare,discount,fruit,orange"
Elephant House Curry Powder,Quality item,Spices,Elephant House,350,,200,g,"brand_elephant_house,cheapest,compare,curry,spices"
Orange Juice,classic,Beverages,,1700,25,500,ml,"beverage,cheapest,compare,discount,juice,orange_juice"
Ambewela Gouda Cheese 1000g,wedges,Dairy & Eggs,Ambewela,1340,10,1000,g,"brand_ambewela,cheapest,cheese,compare,dairy,discount,gouda"
Highland Sausages,Quality item,Frozen Foods,Highland,4170,,750,g,"brand_highland,cheapest,compare,frozen,sausages"
Kotmale Curry Powder,Quality item,Spices,Kotmale,140,5,120,g,"brand_kotmale,cheapest,compare,curry,discount,spices"
Highland Mango Juice,no added sugar,Beverages,Highland,700,,750,ml,"beverage,brand_highland,cheapest,compare,juice,mango_juice"
Munchee Grapes 250g,fresh,Fruits,Munchee,880,,250,g,"brand_munchee,cheapest,compare,fruit,grapes"
Elephant House Fresh Milk 1.5L,Quality item,Dairy & Eggs,Elephant House,950,,1.5,L,"brand_elephant_house,cheapest,compare,dairy,fresh_milk,milk"
Ambewela Fresh Milk,Quality item,Dairy & Eggs,Ambewela,1030,,1,L,"brand_ambewela,cheapest,compare,dairy,fresh_milk,milk"
MALIBAN Mango Juice 0.5L,classic,Beverages,MALIBAN,510,,0.5,L,"beverage,brand_maliban,cheapest,compare,juice,mango_juice"
Elephant House Butter,Quality item,Dairy & Eggs,Elephant House,430,,200,g,"brand_elephant_house,butter,cheapest,compare,dairy"
Ruhunu Vanilla Ice Cream,Quality item,Ice Cream,Ruhunu,1570,,1,L,"brand_ruhunu,cheapest,compare,dessert,icecream"
Kotmale Vanilla Ice Cream,Quality item,Ice Cream,Kotmale,1300,,1.5,L,"brand_kotmale,cheapest,compare,dessert,icecream"
Highland Orange,organic,Fruits,Highland,940,,0.25,kg,"brand_highland,cheapest,compare,fruit,orange"
Elephant House Crackers 200g,family pack,Snacks,Elephant House,220,,200,g,"brand_elephant_house,cheapest,compare,crackers,snacks"
Highland Mozzarella Cheese,spread,Dairy & Eggs,Highland,2600,,1000,g,"brand_highland,cheapest,cheese,compare,dairy,mozzarella"
Ambewela Yoghurt,Quality item,Dairy & Eggs,Ambewela,710,25,150,g,"brand_ambewela,cheapest,compare,dairy,discount,yoghurt"
Elephant House Chocolate Ice Cream,Quality item,Ice Cream,Elephant House,1980,,500,ml,"brand_elephant_house,cheapest,compare,dessert,icecream"
Highland Coffee,no added sugar,Beverages,Highland,1500,,500,g,"beverage,brand_highland,cheapest,coffee,compare"
Elephant House Coffee,fresh,Beverages,Elephant House,360,,120,g,"beverage,brand_elephant_house,cheapest,coffee,compare"
Highland Eggs 12pcs,Quality item,Dairy & Eggs,Highland,1180,,12,pcs,"brand_highland,cheapest,compare,dairy,eggs"
Rich Life Orange Juice,classic,Beverages,Rich Life,2060,,1000,ml,"beverage,brand_rich_life,cheapest,compare,juice,orange_juice"
MALIBAN Pumpkin 1kg,organic,Vegetables,MALIBAN,980,,1,kg,"brand_maliban,cheapest,compare,pumpkin,vegetable"
MD Potato 750g,local,Vegetables,MD,1660,,750,g,"brand_md,cheapest,compare,potato,vegetable"
Mineral Water,fresh,Beverages,,900,10,1.5,L,"beverage,cheapest,compare,discount,water"
Rich Life Pumpkin 0.5kg,fresh,Vegetables,Rich Life,710,,0.5,kg,"brand_rich_life,cheapest,compare,pumpkin,vegetable"
MD Mozzarella Cheese 200g,spread,Dairy & Eggs,MD,340,,200,g,"brand_md,cheapest,cheese,compare,dairy,mozzarella"
Ambewela Fresh Milk 250ml,Quality item,Dairy & Eggs,Ambewela,1160,,250,ml,"brand_ambewela,cheapest,compare,dairy,fresh_milk,milk"
Munchee Cheddar Cheese 120g,spread,Dairy & Eggs,Munchee,390,,120,g,"brand_munchee,cheapest,cheddar,cheese,compare,dairy"
MD Potato,organic,Vegetables,MD,2350,,1000,g,"brand_md,cheapest,compare,potato,vegetable"
Rich Life Grapes,organic,Fruits,Rich Life,1600,15,1000,g,"brand_rich_life,cheapest,compare,discount,fruit,grapes"
Highland Orange 400g,local,Fruits,Highland,710,,400,g,"brand_highland,cheapest,compare,fruit,orange"
Rich Life Mango Juice 2L,classic,Beverages,Rich Life,970,20,2,L,"beverage,brand_rich_life,cheapest,compare,discount,juice,mango_juice"
Ruhunu Fish Cutlets 10pcs,Quality item,Frozen Foods,Ruhunu,680,,10,pcs,"brand_ruhunu,cheapest,compare,cutlets,frozen"
MALIBAN Fish Cutlets 6pcs,Quality item,Frozen Foods,MALIBAN,1180,15,6,pcs,"brand_maliban,cheapest,compare,cutlets,discount,frozen"
Anchor Chicken Nuggets,Quality item,Frozen Foods,Anchor,820,,150,g,"brand_anchor,cheapest,compare,frozen,nuggets"
Ambewela Yoghurt,Quality item,Dairy & Eggs,Ambewela,220,,150,g,"brand_ambewela,cheapest,compare,dairy,yoghurt"
Rich Life Potato,organic,Vegetables,Rich Life,910,,400,g,"brand_rich_life,cheapest,compare,potato,vegetable"
Highland Vanilla Ice Cream 2L,Quality item,Ice Cream,Highland,2050,,2,L,"brand_highland,cheapest,compare,dessert,icecream"
Rich Life Buns Pack 12pcs,Quality item,Bakery,Rich Life,350,,12,pcs,"bakery,brand_rich_life,buns,cheapest,compare"
Ruhunu Yoghurt 200g,Quality item,Dairy & Eggs,Ruhunu,690,,200,g,"brand_ruhunu,cheapest,compare,dairy,yoghurt"
MD Banana,fresh,Fruits,MD,2790,,400,g,"banana,brand_md,cheapest,compare,fruit"
Highland Mineral Water,classic,Beverages,Highland,500,,0.5,L,"beverage,brand_highland,cheapest,compare,water"
Ambewela Coffee,fresh,Beverages,Ambewela,470,,120,g,"beverage,brand_ambewela,cheapest,coffee,compare"
Ruhunu Eggs,Quality item,Dairy & Eggs,Ruhunu,600,30,4,pcs,"brand_ruhunu,cheapest,compare,dairy,discount,eggs"
Kotmale White Bread 750g,Quality item,Bakery,Kotmale,2180,,750,g,"bakery,brand_kotmale,bread,cheapest,compare"
Anchor Crackers,regular,Snacks,Anchor,380,,150,g,"brand_anchor,cheapest,compare,crackers,snacks"
MD Dish Wash Liquid,Quality item,Household,MD,2490,,2,L,"brand_md,cheapest,cleaning,compare,household"
Ambewela Orange,fresh,Fruits,Ambewela,2780,,750,g,"brand_ambewela,cheapest,compare,fruit,orange"
Kotmale White Bread 400g,Quality item,Bakery,Kotmale,490,,400,g,"bakery,brand_kotmale,bread,cheapest,compare"
Highland White Bread 1000g,Quality item,Bakery,Highland,2150,30,1000,g,"bakery,brand_highland,bread,cheapest,compare,discount"
MD Vanilla Ice Cream,Quality item,Ice Cream,MD,1930,,2,L,"brand_md,cheapest,compare,dessert,icecream"
Highland Cheese Wedges 500g,block,Dairy & Eggs,Highland,1550,,500,g,"brand_highland,cheapest,cheese,cheese_wedges,compare,dairy"
Elephant House Curry Powder 1000g,Quality item,Spices,Elephant House,2170,,1000,g,"brand_elephant_house,cheapest,compare,curry,spices"
Rich Life Grapes 0.5kg,organic,Fruits,Rich Life,630,,0.5,kg,"brand_rich_life,cheapest,compare,fruit,grapes"
Rich Life Tea,classic,Beverages,Rich Life,2200,,750,g,"beverage,brand_rich_life,cheapest,compare,tea"
Ambewela Beans 1kg,fresh,Vegetables,Ambewela,490,,1,kg,"beans,brand_ambewela,cheapest,compare,vegetable"
Highland Orange Juice 0.5L,fresh,Beverages,Highland,510,,0.5,L,"beverage,brand_highland,cheapest,compare,juice,orange_juice"
Ambewela Flour 5kg,Quality item,Rice & Grains,Ambewela,4020,,5,kg,"brand_ambewela,cheapest,compare,flour,grains"
Highland Cheddar Cheese 120g,slices,Dairy & Eggs,Highland,150,,120,g,"brand_highland,cheapest,cheddar,cheese,compare,dairy"
Anchor Cheddar Cheese,slices,Dairy & Eggs,Anchor,300,,250,g,"brand_anchor,cheapest,cheddar,cheese,compare,dairy"
Munchee Apple 750g,organic,Fruits,Munchee,2850,,750,g,"apple,brand_munchee,cheapest,compare,fruit"
Ruhunu Cheddar Cheese 200g,block,Dairy & Eggs,Ruhunu,210,,200,g,"brand_ruhunu,cheapest,cheddar,cheese,compare,dairy"
Anchor Mozzarella Cheese,spread,Dairy & Eggs,Anchor,1320,15,500,g,"brand_anchor,cheapest,cheese,compare,dairy,discount,mozzarella"
MD Beans,organic,Vegetables,MD,490,,0.5,kg,"beans,brand_md,cheapest,compare,vegetable"
MALIBAN Coffee,no added sugar,Beverages,MALIBAN,2070,,1000,g,"beverage,brand_maliban,cheapest,coffee,compare"
Kotmale Mozzarella Cheese 250g,wedges,Dairy & Eggs,Kotmale,660,,250,g,"brand_kotmale,cheapest,cheese,compare,dairy,mozzarella"
Highland Chicken Nuggets 750g,Quality item,Frozen Foods,Highland,1180,,750,g,"brand_highland,cheapest,compare,frozen,nuggets"
Ruhunu Potato 100g,fresh,Vegetables,Ruhunu,520,,100,g,"brand_ruhunu,cheapest,compare,potato,vegetable"
Yoghurt 150g,Quality item,Dairy & Eggs,,510,,150,g,"cheapest,compare,dairy,yoghurt"
Ruhunu Tea 750g,no added sugar,Beverages,Ruhunu,1100,,750,g,"beverage,brand_ruhunu,cheapest,compare,tea"
Anchor Gouda Cheese 500g,spread,Dairy & Eggs,Anchor,2290,,500,g,"brand_anchor,cheapest,cheese,compare,dairy,gouda"
MD Butter 400g,Quality item,Dairy & Eggs,MD,480,,400,g,"brand_md,butter,cheapest,compare,dairy"
Kotmale Chili Powder 500g,Quality item,Spices,Kotmale,1320,,500,g,"brand_kotmale,cheapest,chili,compare,spices"
Flour 100g,Quality item,Rice & Grains,,910,,100,g,"cheapest,compare,flour,grains"
MD Biscuits,regular,Snacks,MD,180,25,100,g,"biscuits,brand_md,cheapest,compare,discount,snacks"
Munchee Fresh Milk 200ml,Quality item,Dairy & Eggs,Munchee,830,5,200,ml,"brand_munchee,cheapest,compare,dairy,discount,fresh_milk,milk"
MD Mango Juice 750ml,fresh,Beverages,MD,1930,,750,ml,"beverage,brand_md,cheapest,compare,juice,mango_juice"
MD Orange,fresh,Fruits,MD,2030,,2,kg,"brand_md,cheapest,compare,fruit,orange"
Highland Mozzarella Cheese,wedges,Dairy & Eggs,Highland,750,,400,g,"brand_highland,cheapest,cheese,compare,dairy,mozzarella"
Anchor Flour 1000g,Quality item,Rice & Grains,Anchor,2460,,1000,g,"brand_anchor,cheapest,compare,flour,grains"
MD Fish Cutlets,Quality item,Frozen Foods,MD,580,,2,pcs,"brand_md,cheapest,compare,cutlets,frozen"
Kotmale Vanilla Ice Cream 1000ml,Quality item,Ice Cream,Kotmale,3730,,1000,ml,"brand_kotmale,cheapest,compare,dessert,icecream"
MD Mango Juice,fresh,Beverages,MD,380,20,1,L,"beverage,brand_md,cheapest,compare,discount,juice,mango_juice"
Munchee Gouda Cheese 100g,block,Dairy & Eggs,Munchee,510,20,100,g,"brand_munchee,cheapest,cheese,compare,dairy,discount,gouda"
Elephant House Grapes,organic,Fruits,Elephant House,940,,120,g,"brand_elephant_house,cheapest,compare,fruit,grapes"
Potato,fresh,Vegetables,,1050,,1000,g,"cheapest,compare,potato,vegetable"
Rich Life Beans,fresh,Vegetables,Rich Life,1800,10,2,kg,"beans,brand_rich_life,cheapest,compare,discount,vegetable"
Kotmale Pumpkin 1kg,fresh,Vegetables,Kotmale,560,25,1,kg,"brand_kotmale,cheapest,compare,discount,pumpkin,vegetable"
Ruhunu Vanilla Ice Cream 1L,Quality item,Ice Cream,Ruhunu,1110,,1,L,"brand_ruhunu,cheapest,compare,dessert,icecream"
MD Orange,organic,Fruits,MD,560,,0.5,kg,"brand_md,cheapest,compare,fruit,orange"
Highland Crackers,mini pack,Snacks,Highland,530,,120,g,"brand_highland,cheapest,compare,crackers,snacks"
Highland Chocolate Ice Cream 1500ml,Quality item,Ice Cream,Highland,4000,,1500,ml,"brand_highland,cheapest,compare,dessert,icecream"
Rich Life Gouda Cheese,wedges,Dairy & Eggs,Rich Life,770,,400,g,"brand_rich_life,cheapest,cheese,compare,dairy,gouda"
Highland Chicken Nuggets,Quality item,Frozen Foods,Highland,1040,,100,g,"brand_highland,cheapest,compare,frozen,nuggets"
Rich Life Beans 200g,local,Vegetables,Rich Life,350,,200,g,"beans,brand_rich_life,cheapest,compare,vegetable"
Orange Juice,classic,Beverages,,90,,0.5,L,"beverage,cheapest,compare,juice,orange_juice"
Ambewela Orange Juice 330ml,fresh,Beverages,Ambewela,370,,330,ml,"beverage,brand_ambewela,cheapest,compare,juice,orange_juice"
Munchee Sausages 150g,Quality item,Frozen Foods,Munchee,1130,,150,g,"brand_munchee,cheapest,compare,frozen,sausages"
Elephant House Beans 2kg,fresh,Vegetables,Elephant House,2330,,2,kg,"beans,brand_elephant_house,cheapest,compare,vegetable"
Munchee Chicken Nuggets,Quality item,Frozen Foods,Munchee,260,,120,g,"brand_munchee,cheapest,compare,frozen,nuggets"
Elephant House Crackers,regular,Snacks,Elephant House,410,,500,g,"brand_elephant_house,cheapest,compare,crackers,snacks"
Ruhunu Yoghurt,Quality item,Dairy & Eggs,Ruhunu,660,,200,g,"brand_ruhunu,cheapest,compare,dairy,yoghurt"
Pumpkin 120g,fresh,Vegetables,,130,,120,g,"cheapest,compare,pumpkin,vegetable"
Ambewela Eggs 10pcs,Quality item,Dairy & Eggs,Ambewela,1070,,10,pcs,"brand_ambewela,cheapest,compare,dairy,eggs"
MALIBAN Dish Wash Liquid,Quality item,Household,MALIBAN,3380,,500,ml,"brand_maliban,cheapest,cleaning,compare,household"
Kotmale Carrot 200g,organic,Vegetables,Kotmale,340,,200,g,"brand_kotmale,carrot,cheapest,compare,vegetable"
Munchee Sausages 100g,Quality item,Frozen Foods,Munchee,440,20,100,g,"brand_munchee,cheapest,compare,discount,frozen,sausages"
Highland Cheese Wedges 100g,wedges,Dairy & Eggs,Highland,190,,100,g,"brand_highland,cheapest,cheese,cheese_wedges,compare,dairy"
Munchee Mozzarella Cheese 200g,block,Dairy & Eggs,Munchee,260,,200,g,"brand_munchee,cheapest,cheese,compare,dairy,mozzarella"
Highland Fresh Milk,Quality item,Dairy & Eggs,Highland,990,5,1,L,"brand_highland,cheapest,compare,dairy,discount,fresh_milk,milk"
Kotmale Orange Juice,no added sugar,Beverages,Kotmale,330,,1500,ml,"beverage,brand_kotmale,cheapest,compare,juice,orange_juice"
MALIBAN Orange Juice 0.5L,classic,Beverages,MALIBAN,240,,0.5,L,"beverage,brand_maliban,cheapest,compare,juice,orange_juice"
Munchee Biscuits,regular,Snacks,Munchee,480,,100,g,"biscuits,brand_munchee,cheapest,compare,snacks"
Crackers,mini pack,Snacks,,270,30,100,g,"cheapest,compare,crackers,discount,snacks"
Ambewela Biscuits 400g,regular,Snacks,Ambewela,350,,400,g,"biscuits,brand_ambewela,cheapest,compare,snacks"
MALIBAN Potato,local,Vegetables,MALIBAN,700,,750,g,"brand_maliban,cheapest,compare,potato,vegetable"
MALIBAN Banana 200g,organic,Fruits,MALIBAN,740,,200,g,"banana,brand_maliban,cheapest,compare,fruit"
Elephant House Gouda Cheese 400g,wedges,Dairy & Eggs,Elephant House,540,,400,g,"brand_elephant_house,cheapest,cheese,compare,dairy,gouda"
Ambewela Mozzarella Cheese 120g,spread,Dairy & Eggs,Ambewela,560,,120,g,"brand_ambewela,cheapest,cheese,compare,dairy,mozzarella"
Ruhunu Cheddar Cheese 120g,spread,Dairy & Eggs,Ruhunu,520,,120,g,"brand_ruhunu,cheapest,cheddar,cheese,compare,dairy"
Highland Cheddar Cheese,slices,Dairy & Eggs,Highland,640,,400,g,"brand_highland,cheapest,cheddar,cheese,compare,dairy"
Ambewela Apple 1000g,organic,Fruits,Ambewela,1610,,1000,g,"apple,brand_ambewela,cheapest,compare,fruit"
Munchee Chocolate Ice Cream 1.5L,Quality item,Ice Cream,Munchee,1040,,1.5,L,"brand_munchee,cheapest,compare,dessert,icecream"
Elephant House White Bread,Quality item,Bakery,Elephant House,340,,150,g,"bakery,brand_elephant_house,bread,cheapest,compare"
Mango Juice,fresh,Beverages,,250,,0.5,L,"beverage,cheapest,compare,juice,mango_juice"
Elephant House Mineral Water,classic,Beverages,Elephant House,1410,5,1000,ml,"beverage,brand_elephant_house,cheapest,compare,discount,water"
Anchor Mango Juice 0.5L,classic,Beverages,Anchor,270,,0.5,L,"beverage,brand_anchor,cheapest,compare,juice,mango_juice"
Highland Vanilla Ice Cream 0.5L,Quality item,Ice Cream,Highland,290,,0.5,L,"brand_highland,cheapest,compare,dessert,icecream"
Munchee Flour 100g,Quality item,Rice & Grains,Munchee,1540,10,100,g,"brand_munchee,cheapest,compare,discount,flour,grains"
Rich Life Pumpkin 1kg,organic,Vegetables,Rich Life,190,,1,kg,"brand_rich_life,cheapest,compare,pumpkin,vegetable"
Anchor Tea 1000g,fresh,Beverages,Anchor,1390,,1000,g,"beverage,brand_anchor,cheapest,compare,tea"
Ambewela Buns Pack 12pcs,Quality item,Bakery,Ambewela,330,,12,pcs,"bakery,brand_ambewela,buns,cheapest,compare"
Ruhunu Potato,local,Vegetables,Ruhunu,950,,500,g,"brand_ruhunu,cheapest,compare,potato,vegetable"
Anchor Potato 400g,fresh,Vegetables,Anchor,460,,400,g,"brand_anchor,cheapest,compare,potato,vegetable"
Munchee Chicken Nuggets,Quality item,Frozen Foods,Munchee,3480,,500,g,"brand_munchee,cheapest,compare,frozen,nuggets"
Ambewela Mineral Water 1L,classic,Beverages,Ambewela,870,,1,L,"beverage,brand_ambewela,cheapest,compare,water"
Rich Life Mango Juice 1L,classic,Beverages,Rich Life,590,,1,L,"beverage,brand_rich_life,cheapest,compare,juice,mango_juice"
Anchor Mozzarella Cheese,spread,Dairy & Eggs,Anchor,2700,,750,g,"brand_anchor,cheapest,cheese,compare,dairy,mozzarella"
Potato 150g,organic,Vegetables,,380,,150,g,"cheapest,compare,potato,vegetable"
Ruhunu Carrot 1kg,local,Vegetables,Ruhunu,650,15,1,kg,"brand_ruhunu,carrot,cheapest,compare,discount,vegetable"
Ambewela Beans,local,Vegetables,Ambewela,1960,,5,kg,"beans,brand_ambewela,cheapest,compare,vegetable"
MD Butter,Quality item,Dairy & Eggs,MD,1110,,400,g,"brand_md,butter,cheapest,compare,dairy"
Ambewela Biscuits,regular,Snacks,Ambewela,90,,120,g,"biscuits,brand_ambewela,cheapest,compare,snacks"
Munchee Biscuits,mini pack,Snacks,Munchee,680,,400,g,"biscuits,brand_munchee,cheapest,compare,snacks"
Kotmale Cheddar Cheese 120g,spread,Dairy & Eggs,Kotmale,550,,120,g,"brand_kotmale,cheapest,cheddar,cheese,compare,dairy"
Elephant House Mango Juice 1L,classic,Beverages,Elephant House,630,,1,L,"beverage,brand_elephant_house,cheapest,compare,juice,mango_juice"
Ruhunu Orange Juice 1.5L,fresh,Beverages,Ruhunu,1110,,1.5,L,"beverage,brand_ruhunu,cheapest,compare,juice,orange_juice"
Ambewela Curry Powder 1000g,Quality item,Spices,Ambewela,1220,10,1000,g,"brand_ambewela,cheapest,compare,curry,discount,spices"
MD White Bread,Quality item,Bakery,MD,210,,200,g,"bakery,brand_md,bread,cheapest,compare"
Munchee Gouda Cheese,block,Dairy & Eggs,Munchee,540,30,400,g,"brand_munchee,cheapest,cheese,compare,dairy,discount,gouda"
MD Mineral Water,classic,Beverages,MD,610,,2,L,"beverage,brand_md,cheapest,compare,water"
MD Beans 5kg,fresh,Vegetables,MD,3010,,5,kg,"beans,brand_md,cheapest,compare,vegetable"
Elephant House Coffee,classic,Beverages,Elephant House,1280,,750,g,"beverage,brand_elephant_house,cheapest,coffee,compare"
Rich Life Mineral Water,no added sugar,Beverages,Rich Life,1200,,1.5,L,"beverage,brand_rich_life,cheapest,compare,water"
Munchee Gouda Cheese,slices,Dairy & Eggs,Munchee,460,,250,g,"brand_munchee,cheapest,cheese,compare,dairy,gouda"
MALIBAN Mango Juice,classic,Beverages,MALIBAN,850,,1,L,"beverage,brand_maliban,cheapest,compare,juice,mango_juice"
Munchee Chicken Nuggets 200g,Quality item,Frozen Foods,Munchee,440,,200,g,"brand_munchee,cheapest,compare,frozen,nuggets"
Ambewela Potato 150g,fresh,Vegetables,Ambewela,670,,150,g,"brand_ambewela,cheapest,compare,potato,vegetable"
MD Orange Juice,no added sugar,Beverages,MD,340,10,750,ml,"beverage,brand_md,cheapest,compare,discount,juice,orange_juice"
MALIBAN Curry Powder 250g,Quality item,Spices,MALIBAN,220,,250,g,"brand_maliban,cheapest,compare,curry,spices"
Ambewela Crackers,regular,Snacks,Ambewela,1530,,750,g,"brand_ambewela,cheapest,compare,crackers,snacks"
Highland Mango Juice 200ml,fresh,Beverages,Highland,450,30,200,ml,"beverage,brand_highland,cheapest,compare,discount,juice,mango_juice"
Munchee Cheese Wedges 120g,slices,Dairy & Eggs,Munchee,400,,120,g,"brand_munchee,cheapest,cheese,cheese_wedges,compare,dairy"
Highland Sausages,Quality item,Frozen Foods,Highland,1630,,400,g,"brand_highland,cheapest,compare,frozen,sausages"
Ruhunu Gouda Cheese 150g,slices,Dairy & Eggs,Ruhunu,320,,150,g,"brand_ruhunu,cheapest,cheese,compare,dairy,gouda"
MD Crackers,family pack,Snacks,MD,510,10,150,g,"brand_md,cheapest,compare,crackers,discount,snacks"
Rich Life Butter,Quality item,Dairy & Eggs,Rich Life,1130,,400,g,"brand_rich_life,butter,cheapest,compare,dairy"
MD Dish Wash Liquid,Quality item,Household,MD,300,,0.5,L,"brand_md,cheapest,cleaning,compare,household"
Kotmale Cheddar Cheese,spread,Dairy & Eggs,Kotmale,2190,,500,g,"brand_kotmale,cheapest,cheddar,cheese,compare,dairy"
MD Tea 400g,fresh,Beverages,MD,300,,400,g,"beverage,brand_md,cheapest,compare,tea"
